incoming_id,predicted_duplicate,matched_product_id,score
EVAL-DUP-001,true,B081JP8CC6,0.957468
EVAL-DUP-002,true,B07GWRF23V,0.945276
EVAL-DUP-003,true,B07S7B3SN2,0.974719
EVAL-DUP-004,false,,0.890719
EVAL-DUP-005,true,B00JOH9FRO,0.940129
EVAL-DUP-006,true,B01JADTEKE,0.963241
EVAL-DUP-007,true,B01M0G3WP0,0.957605
EVAL-NEW-001,false,,0.850014
EVAL-NEW-002,false,,0.854355
EVAL-NEW-003,false,,0.870399
EVAL-NEW-004,false,,0.849182
EVAL-NEW-005,false,,0.855484
EVAL-NEW-006,false,,0.850511
EVAL-NEW-007,false,,0.857062
